編號,發布日期,職缺名稱,工作內容摘要,公司名稱,產業描述,最低薪資,最高薪資,學歷要求代碼清單,具體的軟硬體技能要求,目前應徵人數,工作連結
497,20260330,軟體開發工程師,"APP開發。
   Python or R：開發數據分析功能。
   AI應用：消費行為，營業使用行為。
3.維護產品與專案。
4.協助研發軟體新技術與新工具。",致富寶股份有限公司,電腦軟體服務業,500000,9999999,大學以上,"[{'code': '12001003006', 'description': 'ASP.NET'}, {'code': '12001003009', 'description': 'C#'}, {'code': '12001003025', 'description': 'Java'}, {'code': '12001004031', 'description': 'MS SQL'}, {'code': '12001006013', 'description': 'HTML'}, {'code': '12001006017', 'description': 'JavaScript'}, {'code': '12001006044', 'description': 'Angular'}, {'code': '12001003045', 'description': 'Python'}, {'code': '12001006016', 'description': 'J2SE'}, {'code': '12001006032', 'description': 'CSS'}, {'code': '12001001042', 'description': 'Android'}, {'code': '12001001043', 'description': 'iOS'}, {'code': '12001003094', 'description': 'IoT'}]",8,https://www.104.com.tw/job/5ijap
499,20260407,筆電軟韌體ARM BSP/Embedded 主管/高級工程師 (Chromebook),"ARM BSP問題並討論解決方案
3.負責軟體功能驗證及壓力測試及支援生產等相關工作
4.熟悉C++/python、Git/Gerrit、Windows、Linux系統及Open source相關工具
5.負責協助Image building及實驗版本",香港商聯寶電腦有限公司台灣分公司,電腦及其週邊設備製造業,43000,150000,大學以上,"[{'code': '12001002018', 'description': 'Git'}, {'code': '12001003010', 'description': 'C++'}, {'code': '12001003045', 'description': 'Python'}]",1,https://www.104.com.tw/job/8jfnu
502,20260407,T5- REVIT 二次開發工程師,"1. 撰寫/維護 Revit API 之外掛與內部工具。
2. 協助團隊實作工程流程的數位化之工作。
3. 依能力與意願，協助跨技術應用，如 AI 輔助、幾何搜尋演算法、資料視覺化等。
4. 若具備 程式設計基礎（如C# / Python），但不",泰宣企業股份有限公司,其他半導體相關業,40000,55000,專科以上,"[{'code': '12002003010', 'description': 'Revit'}, {'code': '12001003009', 'description': 'C#'}, {'code': '12001003045', 'description': 'Python'}]",2,https://www.104.com.tw/job/8oaaq
504,20260407,Web/App全端及系統整合工程師(電信SIP&VOIP/AIoT通訊),"android平台開發工具
2.後端：php(Laravel)/python(Django/Flask)/C/C#.net/node.js/java
3.資料庫：MySQL/NoSQL(Mongo DB) /Elasticsearch/Lucene
4.",環球睿視股份有限公司,電腦軟體服務業,40000,55000,專科以上,"[{'code': '12001006043', 'description': 'Django'}, {'code': '12001006038', 'description': 'VueJS'}, {'code': '12001006036', 'description': 'ReactJS'}, {'code': '12001006034', 'description': 'Node.js'}, {'code': '12001006033', 'description': 'Sass'}, {'code': '12001006032', 'description': 'CSS'}, {'code': '12001006030', 'description': 'jQuery'}, {'code': '12001006017', 'description': 'JavaScript'}, {'code': '12001004032', 'description': 'MySQL'}, {'code': '12001003045', 'description': 'Python'}, {'code': '12001003041', 'description': 'PHP'}, {'code': '12001003004', 'description': 'AJAX'}, {'code': '12001002018', 'description': 'Git'}, {'code': '12001002016', 'description': 'Github'}, {'code': '12001001007', 'description': 'Linux'}]",3,https://www.104.com.tw/job/71f80
508,20260404,軟體應用工程師,"工作內容:
1. 軟體開發: 於嵌入式系統環境以 Python 開發應用與系統服務。
2. 開發測試: 架設網路／系統環境，撰寫測試案例與技術文件。
3. 產品測試: 回廠/RMA 產品之軟體問題重現與根因分析。
4. 技術支援: 提供客戶端技術",萬世盛工程顧問股份有限公司,電力機械器材製造修配業,40000,9999999,高中以上,"[{'code': '12001003045', 'description': 'Python'}, {'code': '12001001007', 'description': 'Linux'}, {'code': '12001003041', 'description': 'PHP'}, {'code': '12001004032', 'description': 'MySQL'}]",6,https://www.104.com.tw/job/81zg1
509,20260407,115年度研發替代役-後端與前端工程師,"1. 負責後端或前端程式設計
2. 孰悉 C#、或 Python、或 Java、或IOS swift、或 JavaScript、或PHP
3. 資料庫語法：MSSQL / MySql 經驗佳
4. 熟悉 .NET、或 JAVA、或Node.js",聯華電信股份有限公司,光電產業,40000,55000,碩士以上,[],3,https://www.104.com.tw/job/7hi1x
512,20260302,【威脅分析中心】系統工程師,"等基礎概念）
2. 具備基本硬體維修與故障排除能力（PC、筆電、印表機等）
3. 能處理公司員工 IT 相關需求與問題（Helpdesk）
4. 具獨立解決技術問題能力
5. 具相關系統開發工作經驗尤佳
6. 熟悉C#, Java, Python尤",國家資通安全研究院,其他專業／科學及技術業,40000,55000,大學以上,"[{'code': '12001003009', 'description': 'C#'}, {'code': '12001003025', 'description': 'Java'}, {'code': '12001003045', 'description': 'Python'}]",1,https://www.104.com.tw/job/8502n
515,20260407,軟韌體工程師_15357,"1. Familiar with C/C++ programming /debugging skills on embedded systems
2. Familiar with Python/Shell skills
3. Familiar",和碩集團_和碩聯合科技股份有限公司,電腦及其週邊設備製造業,40000,55000,專科以上,"[{'code': '12001001020', 'description': 'Shell'}, {'code': '12001003008', 'description': 'C'}, {'code': '12001003010', 'description': 'C++'}, {'code': '12001003045', 'description': 'Python'}]",18,https://www.104.com.tw/job/8zml8
516,20260402,台股量化交易研究員,"依據量化條件進行回測或統計分析，協助建立台股股票池與篩選交易
方法，協助台股自動交易系統建立。
善用選股軟體(Ex:CMoney/XS或其他選股軟體..)者佳；
使用軟體(Ex:VBA/Python/R)蒐集或者撈取資料進行分析者擇優錄取；
本公",盈萃科技股份有限公司,電腦軟體服務業,30000,60000,專科以上,[],2,https://www.104.com.tw/job/8abe0
519,20260402,電商營運數據分析 Data Analyst 資深專員,"轉換漏斗。
- 有 Tableau Server 維運或推廣自助式數據分析（Self-service BI）文化經驗者尤佳。
- 具備 A/B Testing 實驗設計或統計學基礎概念，能客觀評估業務優化成效。
- 具備 Python 或 R 進行",酷遊天股份有限公司,旅遊服務業,40000,55000,學歷不均,"[{'code': '12001011001', 'description': 'Tableau'}, {'code': '12001003045', 'description': 'Python'}, {'code': '12004001014', 'description': 'EDA'}]",18,https://www.104.com.tw/job/8xlo6
524,20260407,PHP網頁工程師,". 行動APP開發經驗。
3. 有 Python、C#、.Net 開發經驗。
4. 具 API 開發 & 介接經驗。
5. 無障礙網頁開發相關經驗。",金翰科技有限公司,電腦系統整合服務業,38000,46000,專科以上,"[{'code': '12001003009', 'description': 'C#'}, {'code': '12001003041', 'description': 'PHP'}, {'code': '12001003045', 'description': 'Python'}, {'code': '12001003006', 'description': 'ASP.NET'}]",8,https://www.104.com.tw/job/7e0qg
526,20260407,(桃園)後端工程師｜區塊鏈工具開發 & 自動化腳本方向,"我們是一間由成立超過30年的金融軟體服務公司成立的分公司，主要提供區塊鏈相關週邊工具開發。目前正在擴編團隊，誠摯邀請熟悉 Python 或 Golang 的工程師加入，一同投入一系列有趣具挑戰性且充滿探索性的模組開發任務。

工作內容包含但不限於",捷鵬國際股份有限公司,電腦軟體服務業,40000,55000,專科以上,"[{'code': '12001003045', 'description': 'Python'}, {'code': '12001003080', 'description': 'Go'}, {'code': '12001006017', 'description': 'JavaScript'}]",1,https://www.104.com.tw/job/8sjrz
529,20260330,技術工程師 Software Engineer｜ESG新項目,"運行。
進行 Bug 修復與效能優化。
3. 團隊協作：
與管理層、專案經理合作，將需求轉化為技術方案。
4. 支援平台新功能測試與上線流程。

☛任職條件

熟悉 Web 前端或後端開發（React / Node.js / Python /",銀色大門事業股份有限公司,其它軟體及網路相關業,50000,55000,專科以上,"[{'code': '12001006034', 'description': 'Node.js'}, {'code': '12001003045', 'description': 'Python'}, {'code': '12001005023', 'description': 'AWS'}, {'code': '12001006036', 'description': 'ReactJS'}, {'code': '12001006038', 'description': 'VueJS'}, {'code': '12001006037', 'description': 'AngularJS'}, {'code': '12001006017', 'description': 'JavaScript'}, {'code': '12001006030', 'description': 'jQuery'}, {'code': '12001003004', 'description': 'AJAX'}, {'code': '12001006044', 'description': 'Angular'}, {'code': '12001006032', 'description': 'CSS'}, {'code': '12001006013', 'description': 'HTML'}, {'code': '12001004032', 'description': 'MySQL'}, {'code': '12001006033', 'description': 'Sass'}, {'code': '12001003093', 'description': 'Cloud'}, {'code': '12001002018', 'description': 'Git'}, {'code': '12001004039', 'description': 'PostgreSQL'}, {'code': '12001002016', 'description': 'Github'}]",9,https://www.104.com.tw/job/8trkh
534,20260401,[Senior] 多模態 AI 演算法工程師 (Multimodal AI / VLM Engineer / AI 醫療影像 SaaS 產品),"： 深厚的 Python 功底，並精通 PyTorch 框架與分布式訓練環境。

● 多模態與 Transformer 實績： 熟悉 Transformer 變體架構，且具備 VLP (Vision-Language Pre-training) 的",智捷醫學科技股份有限公司,電腦軟體服務業,40000,55000,大學以上,"[{'code': '12001003087', 'description': 'tensorflow'}, {'code': '12001003086', 'description': 'PyTorch'}, {'code': '12001003096', 'description': 'Computer Vision'}, {'code': '12001003045', 'description': 'Python'}]",8,https://www.104.com.tw/job/8wvyf
535,20260407,大數據應用人員(數據應用部),"Data Mart) 規劃與創建經驗，理解 Star Schema/Snowflake Schema 概念。
3.分析程式力：精通 Python 或 R (至少一種)，能執行統計分析、數據清洗及模型開發。
4.專業領域：具備基本統計概念、統計模型。",永豐金證券股份有限公司,證券及期貨業,40000,55000,大學以上,"[{'code': '12001003045', 'description': 'Python'}, {'code': '12001004031', 'description': 'MS SQL'}, {'code': '12001008003', 'description': 'Excel'}, {'code': '12001011012', 'description': 'Power BI\u200b'}]",17,https://www.104.com.tw/job/8vnbx
