編號,發布日期,職缺名稱,工作內容摘要,公司名稱,產業描述,最低薪資,最高薪資,學歷要求代碼清單,具體的軟硬體技能要求,目前應徵人數,工作連結
1,20260407,【STAFF】ERP/PLM系統流程規劃設計師 (台北),"試與應用推廣，結合文件處理、知識管理、資料分析或自動化技術，協助提升作業效率與決策品質，推動 AI 在企業營運場景中的實際落地。

4.Python 爬蟲開發與市場情報蒐集
利用 Python 撰寫爬蟲腳本，協助建置「戰情平台」，整合市場情報，輔助",士林電機廠股份有限公司,電力機械器材製造修配業,35000,60000,大學以上,"[{'code': '12001003045', 'description': 'Python'}, {'code': '12001004031', 'description': 'MS SQL'}, {'code': '12001004038', 'description': 'PL/SQL'}, {'code': '12006001008', 'description': 'Oracle ERP'}, {'code': '12006001016', 'description': '鼎新'}]",5,https://www.104.com.tw/job/7xem0
2,20260401,【北士科】DevOps 組長,"、系統架構規劃、雲服務（如AWS、Azure、GCP）、容器化技術(K8s、Docker)和基礎自動化工具(Terraform、Ansible)
2、具備Linux系統管理、程式開發（如Python、Go、Shell）、版本控管（Git）及安全控管",沛思坦網路股份有限公司,網際網路相關業,1000000,9999999,大學以上,"[{'code': '12001005023', 'description': 'AWS'}, {'code': '12001002018', 'description': 'Git'}, {'code': '12001001007', 'description': 'Linux'}, {'code': '12001003045', 'description': 'Python'}, {'code': '12001001020', 'description': 'Shell'}, {'code': '12001004032', 'description': 'MySQL'}, {'code': '12001007063', 'description': 'Security'}, {'code': '12001003093', 'description': 'Cloud'}, {'code': '12001002016', 'description': 'Github'}]",4,https://www.104.com.tw/job/8veq8
4,20260407,Python 後端軟體工程師,"1. 設計 AI 相關應用的架構及流程
2. 以 python 開發 Web Application 及 Desktop Application
3. 維護既有產品以及內部套件
4. 撰寫軟體測試",沐恩生醫光電股份有限公司,其他醫療保健服務業,40000,55000,大學以上,"[{'code': '12001001007', 'description': 'Linux'}, {'code': '12001002018', 'description': 'Git'}, {'code': '12001003045', 'description': 'Python'}]",10,https://www.104.com.tw/job/89a38
5,20260407,Python工程師(PN001),"+ 具備 Python 實務經驗
+ 工作態度積極、負責，重視團隊溝通合作 
+ 不當獨行俠，行有餘力時會主動支援及協助

加分 
++ 有使用 Python 開發的開源程式碼專案可供參考 
++ 有撰寫 Unit Test 經驗",祐安資訊有限公司,電腦軟體服務業,40000,55000,專科以上,"[{'code': '12001003045', 'description': 'Python'}]",7,https://www.104.com.tw/job/697yq
6,20250819,Python開發工程師,"職位要求：
1、最低兩年實際python開發經驗 
2、希望為數據工程師
3、主要負責Airflow開發.dbt開發.其它Python系統整合開發，（最好是以上的技術可以都會，但可以接受只會 python + SQL 的人選）",加林軟體科技有限公司,電腦軟體服務業,40000,55000,學歷不均,"[{'code': '12001003045', 'description': 'Python'}, {'code': '12001004031', 'description': 'MS SQL'}]",12,https://www.104.com.tw/job/87ua3
7,20260406,Python工程師【信義-金融數位】,"【職務需求】
1.工作經歷：Python相關工作經驗3年以上：
2.熟悉 PySpark，能處理大規模資料運算。

【工作內容】
1.使用 Python 與 PySpark 進行資料處理、ETL、資料清洗及資料轉換。
2.設計與開發 數據特徵（",鈦創軟體資訊有限公司,電腦軟體服務業,40000,55000,專科以上,"[{'code': '12001003045', 'description': 'Python'}, {'code': '12001004018', 'description': 'ETL'}]",5,https://www.104.com.tw/job/8z3y0
9,20260407,Proptech/Fintech Python後端工程師/資料科學家,"Python、Selenium 網路爬蟲相關經驗及網站常見反爬蟲策略經驗
3. 熟悉 MySQL / maria DB
4. 參與過資料視覺化相關專案開發
5. 使用 Python 及 Django 、 FastAPI經驗
6. 開發過 API 系統",九天資產管理股份有限公司,不動產經營業,40000,55000,專科以上,"[{'code': '12001003045', 'description': 'Python'}, {'code': '12001004018', 'description': 'ETL'}]",7,https://www.104.com.tw/job/8tfqn
10,20260331,【研發部】Python  應用工程師,"1. 以 Python 語言編寫blender腳本或外掛(i.e. Blender Python API。
2. 根據客戶需求或專案目標，設計並實作室內模型的自動化分割。
3. 撰寫技術檔案與開發手冊，並針對成果產出測試案例，驗證穩定性與正確性。",真建築科技股份有限公司,網際網路相關業,40000,55000,專科以上,"[{'code': '12001003045', 'description': 'Python'}]",11,https://www.104.com.tw/job/8qhwv
11,20260406,Python程式設計師(PG)(臺北市中山區)(A0043),"【技術需求】
- 熟練 Python 開發經驗（3 年以上為佳），熟悉常見套件與開發環境
- 熟悉 NoSQL 資料庫設計與操作（例如 MongoDB、DynamoDB、Cassandra 等）
- 有處理大規模資料處理、ETL 或批次運算經驗",艾帝浦杰股份有限公司,電腦軟體服務業,55000,65000,學歷不均,[],8,https://www.104.com.tw/job/8zy25
12,20260325,P7-Python資料工程師,"本公司是國內搜尋及語意分析市占率最高的廠商，專注研發非結構資料之數據處理，尋找熟悉Python及物件導向設計的人才加入。工作主要為開發與維運資料產線，搜集語料、資料儲存處理，並提供API服務供下游服務使用。

工作內容如下：
- 資料搜集程式開發",意藍資訊股份有限公司,網際網路相關業,35000,45000,大學以上,"[{'code': '12001003045', 'description': 'Python'}]",13,https://www.104.com.tw/job/7csnw
13,20260407,Smart Device Automation Developer - Python (工作地點：新店),This is an excellent opportunity for an individual with a strong foundation in Python and a passion for quality assurance to,印度商威普羅股份有限公司台灣分公司,電腦系統整合服務業,50000,75000,大學以上,"[{'code': '12001003045', 'description': 'Python'}]",7,https://www.104.com.tw/job/7at7v
14,20260404,AI科學部- Python 自動化工程師,"意影像結合，打造新一代智能內容生產系統，讓創作效率與品質同時達到業界新標準。

⸻

你的職責
	•	開發 AI 影像自動化流程，將腳本生成、語音合成、分鏡與影片處理串接成完整 Pipeline。
	•	使用 FFmpeg + Python 進行影",酷客創藝股份有限公司,廣告行銷公關業,40000,55000,大學以上,"[{'code': '12001003097', 'description': 'LLM'}, {'code': '12001003088', 'description': 'NLP'}, {'code': '12002001045', 'description': 'Unity'}, {'code': '12001003087', 'description': 'tensorflow'}, {'code': '12001003086', 'description': 'PyTorch'}, {'code': '12001003099', 'description': 'Prompt'}, {'code': '12001003045', 'description': 'Python'}, {'code': '12001003010', 'description': 'C++'}]",7,https://www.104.com.tw/job/8qehr
15,20260326,【研發部】後端工程師 (PHP/Python),"【工作內容】
使用 PHP 與 Python 進行後端系統開發與維護
設計與開發 RESTful API
資料庫設計與優化（MySQL / MongoDB）
系統效能調校與問題排除
撰寫技術文件與程式碼文件
與前端工程師協作完成專案

【必要條件",真建築科技股份有限公司,網際網路相關業,40000,55000,高中以上,[],12,https://www.104.com.tw/job/8ztin
17,20260407,115年研發替代役_Python軟體研發工程師,"1. AI 代理與生成式應用專案
2. EIM 企業通訊軟體

【必備技能】
1. 熟悉Python程式語言
2. 熟悉Flask/FastAPI框架使用
3. 熟悉GCP/AWS任一雲端服務
4. 熟悉Git版本控制相關操作
5. 熟悉物件導向程",台灣大哥大股份有限公司,電信相關業,1200000,9999999,學歷不均,"[{'code': '12001001007', 'description': 'Linux'}, {'code': '12001003045', 'description': 'Python'}, {'code': '12001005023', 'description': 'AWS'}]",13,https://www.104.com.tw/job/8w8a8
18,20260407,AI系統開發工程師,"職務說明
1. 負責集團內AI相關系統的開發
2. 資料清洗
3. AI相關技術研究

工作技能需求：
1. 使用程式語言：Python
2. 框架：Flask / FastAPI / LangChain
3. 使用資料庫：MySQL /",旺旺集團_宜蘭食品工業股份有限公司,糖果點心製造業,40000,55000,專科以上,"[{'code': '12001002018', 'description': 'Git'}, {'code': '12001003045', 'description': 'Python'}]",5,https://www.104.com.tw/job/8dhvi
19,20260407,Automation Test Tool Developer-Python/Java/Kotlin (工作地點: 板橋),"Responsibilities of the associate:
 1. This role is Python/Java/Kotlin Automation (Test case automation)
2. Write Python",印度商威普羅股份有限公司台灣分公司,電腦系統整合服務業,40000,55000,專科以上,"[{'code': '12001003045', 'description': 'Python'}, {'code': '12001003025', 'description': 'Java'}, {'code': '12001003081', 'description': 'Kotlin'}]",6,https://www.104.com.tw/job/8r2lk
20,20260403,網站開發全端工程師 (Python),"共同成長，學習與應用最新的技術:
   a. 以 Python 為主，JAVA 為輔
   b. Javascript ES6, React, Angular, Vue 以及 CSS 開發前端 UI
   c. MySQL 資料庫管理、曾接觸",台灣智園有限公司,電腦軟體服務業,40000,55000,大學以上,"[{'code': '12001001007', 'description': 'Linux'}, {'code': '12001001008', 'description': 'Mac OS'}, {'code': '12001002018', 'description': 'Git'}, {'code': '12001003025', 'description': 'Java'}, {'code': '12001003045', 'description': 'Python'}, {'code': '12001004032', 'description': 'MySQL'}, {'code': '12001006013', 'description': 'HTML'}, {'code': '12001006030', 'description': 'jQuery'}, {'code': '12001006032', 'description': 'CSS'}, {'code': '12001006033', 'description': 'Sass'}, {'code': '12001006034', 'description': 'Node.js'}, {'code': '12001006037', 'description': 'AngularJS'}, {'code': '12001006038', 'description': 'VueJS'}, {'code': '12001006036', 'description': 'ReactJS'}]",8,https://www.104.com.tw/job/43gvt
21,20260402,《新創》Python爬蟲與技術支援工程師(Back End Engineer) / 每周彈性遠距 1 天,"3000萬營業額。

我們正在尋找一位具備 Python 網路爬蟲與後端開發經驗的工程師，加入我們的軟體開發團隊，負責自動化行銷系統的開發與維運。我們的產品透過自動化 RPA 機器人，協助房仲與中小型賣家在 Facebook、LINE 等社群與訊息",捷德爾有限公司,電腦軟體服務業,550000,700000,大學以上,"[{'code': '12001003045', 'description': 'Python'}, {'code': '12001004032', 'description': 'MySQL'}, {'code': '12001002018', 'description': 'Git'}]",12,https://www.104.com.tw/job/8z8ux
22,20260325,P10-Python應用工程師,"我們是國內領先的雲端智能數據分析公司，專注於AI 及數據應用技術，誠摯邀請對智能數據 (Data Intelligence) 充滿熱情的你，一同開拓未來！

我們正在尋找具備實務經驗與獨立問題解決能力的 Python 工程師加入團隊。

我們理解",意藍資訊股份有限公司,網際網路相關業,40000,55000,大學以上,"[{'code': '12001003045', 'description': 'Python'}]",16,https://www.104.com.tw/job/8osoz
23,20260402,Senior Data Warehouse Engineer 智慧手錶資料倉儲資深工程師,"Scala 或 Python 開發能力（我們是以 Java 為主的研發團隊，Java 生態整合能力是關鍵）。

五、業務理解與軟實力：
1) 對 IoT、智慧穿戴或醫療健康資料（如心率、ECG、IMU 感測器資料）的特徵（高頻、時序、偶發斷連亂序",新加坡商納新科技有限公司台灣分公司,電腦軟體服務業,40000,55000,大學以上,"[{'code': '12001004018', 'description': 'ETL'}, {'code': '12001005023', 'description': 'AWS'}, {'code': '12001005022', 'description': 'hadoop'}, {'code': '12001003025', 'description': 'Java'}, {'code': '12001003045', 'description': 'Python'}, {'code': '12001003094', 'description': 'IoT'}, {'code': '12001003082', 'description': 'Scala'}, {'code': '12001004034', 'description': 'OLAP'}, {'code': '12001004039', 'description': 'PostgreSQL'}, {'code': '12001003093', 'description': 'Cloud'}, {'code': '12003004004', 'description': 'Hive'}, {'code': '12001004031', 'description': 'MS SQL'}, {'code': '12001001007', 'description': 'Linux'}]",18,https://www.104.com.tw/job/8u65f
24,20260401,售前方案規劃工程師｜Pre-Sales Solution Engineer｜此職缺限定給無工作經驗的新鮮人,"合性

職務需求
必備條件
•以下2項滿足其一：
  1.工程相關科系畢業（自動控制、機械、電機、機電、自動化相關）
  2.自動化控制 or機械手臂 or 無人車 相關工作經歷
•具有自動控制或程式邏輯基礎（PLC / C / Python /",台灣庫卡股份有限公司,自動控制相關業,40000,55000,大學以上,"[{'code': '12004001027', 'description': 'PLC'}, {'code': '12001003008', 'description': 'C'}, {'code': '12001003045', 'description': 'Python'}, {'code': '12003003049', 'description': 'Robot'}]",3,https://www.104.com.tw/job/8yfsz
25,20260402,Machine Learning Engineer 機器學習演算法工程師,"to improve the quality of current products.


【Qualifications】
1. Proficiency in Python.
2. Solid background in natural",奧義智慧科技股份有限公司,電腦軟體服務業,40000,55000,大學以上,"[{'code': '12001003045', 'description': 'Python'}]",7,https://www.104.com.tw/job/903i6
26,20260404,【MyGo AI大數據】Proptech/Fintech-Python後端工程師/資料科學家/數據分析師,"ETL)、資料分析，協助各部門改善與優化現有流程，提升效率。
3.使用Python到出神入化境界，能破別人所解不了的乾淨數據。
4. Python、Selenium 網路爬蟲相關經驗及網站常見反爬蟲策略經驗 
5.將分析結果視覺化呈現，利於團隊進行",MyGo商學苑_平安房屋仲介股份有限公司,不動產經營業,40000,55000,大學以上,"[{'code': '12001003045', 'description': 'Python'}, {'code': '12001004018', 'description': 'ETL'}]",10,https://www.104.com.tw/job/6yjxf
27,20260407,I105 Python Web工程師(可遠端工作),"給自己也給我們一個機會，加入我們一同持續精進IT專業技術，改寫自己的人生與改寫世界，讓我們一起變得更好，歡迎登艦！

【工作內容】
1. Python Web Application開發(Flask + jQuery單體架構 或 FastAPI +",台灣大哥大股份有限公司,電信相關業,40000,55000,學歷不均,"[{'code': '12001003045', 'description': 'Python'}]",20,https://www.104.com.tw/job/8i0ux
28,20260407,Silicon Test Engineer - Python (工作地點: 板橋),"programming skills in Python and the ability to translate complex data into clear, actionable insights for engineering teams.

Key",印度商威普羅股份有限公司台灣分公司,電腦系統整合服務業,40000,55000,專科以上,[],1,https://www.104.com.tw/job/8tpxh
30,20260407,【電商】初階後端工程師｜Python・Django・系統維護 ( 汐科3分鐘 ),"Django / Python
  ・資料庫：MySQL / MariaDB
  ・版本控制：Git
  ・協作工具：完整 Code Review 制度
  ・AI 工具：積極導入 AI 輔助開發流程


  【你的實戰任務】

  ◎ 維護與改善既有",杰特企業有限公司,綜合商品批發代理業,33000,38000,專科以上,"[{'code': '12001003045', 'description': 'Python'}, {'code': '12001006043', 'description': 'Django'}, {'code': '12001006017', 'description': 'JavaScript'}, {'code': '12001006030', 'description': 'jQuery'}, {'code': '12001003004', 'description': 'AJAX'}]",10,https://www.104.com.tw/job/8ixn5
31,20260407,PB-【外商資產管理公司｜ETF Operations / Client Reporting】 (VBA/Python/新鮮人亦可),".	監控營運風險並維護相關控制機制，包括營運指標檢視及報告。
	7.	協助新產品上線與相關營運流程支援。
	8.	持續尋找流程優化機會，透過自動化工具提升作業效率（VBA / Python 等）。
	9.	與 Client Business",新加坡商立可人事顧問有限公司台灣分公司,人力仲介代徵,40000,80000,大學以上,"[{'code': '12001003058', 'description': 'VBA'}, {'code': '12001003045', 'description': 'Python'}]",8,https://www.104.com.tw/job/8zfh7
32,20260407,【H001】Python 後端開發工程師（AI）,"【工作內容】
1.依AI Agent規劃架構進行開發

【具備條件】
1. 3年以上 Python 開發經驗
2. 熟悉 FastAPI 和 Pydantic
3. 有 CI/CD 佈署 docker 經驗
4. 會使用或願意學習 google",一騰資訊服務股份有限公司,電腦軟體服務業,40000,55000,專科以上,"[{'code': '12001003045', 'description': 'Python'}, {'code': '12001004031', 'description': 'MS SQL'}, {'code': '12001004032', 'description': 'MySQL'}]",19,https://www.104.com.tw/job/8zflw
33,20260401,軟體開發工程師 Python 自動控制,"1. Python 程式設計開發維護 (環控系統 自動控制系統)。
2. 人機介面 UI 設計 (環控系統 自動控制系統)。
2. 赴客戶處安裝設定 Python 程式，以控制視訊影音設備。
3. 可獨立或與團隊合作。
4. 基本的英語手冊閱讀能",進懋有限公司,綜合商品批發代理業,33000,60000,高中以上,"[{'code': '12001003045', 'description': 'Python'}]",8,https://www.104.com.tw/job/8bvhf
34,20260402,機關駐點人員(臺北市中正區)(A),"負責整體行政支援、資料彙整、數據分析、報告撰擬、簡報製作、縣市執行績效追蹤及政策研析作業

**會使python、Power BI，或有相關政策論述經驗者佳**
**上述工作會有專案經理輔導訓練**
**駐點時間：1年**",鼎漢國際工程顧問股份有限公司,其他專業／科學及技術業,40000,50000,大學以上,"[{'code': '12001008003', 'description': 'Excel'}, {'code': '12001008012', 'description': 'PowerPoint'}, {'code': '12001008016', 'description': 'Word'}, {'code': '12001003045', 'description': 'Python'}, {'code': '12001011012', 'description': 'Power BI\u200b'}]",2,https://www.104.com.tw/job/9023p
35,20260320,大型知識探索工程師（LLM Discovery Engineer）,"平台系統，爭取最高速率獲取完整正確資料與自動驗證正確性。
4. 研究新技術與新工具

【Essential Qualifications】
1. 熟悉自動化知識探索與理解相關基礎技術，python與其相關套件與框架，如requests, lxml等",Taiwan AI Labs_雅婷智慧股份有限公司,其它軟體及網路相關業,40000,55000,大學以上,"[{'code': '12001003045', 'description': 'Python'}]",5,https://www.104.com.tw/job/7tkwm
36,20260407,軟體應用工程師,"位 ，並提供產品技術諮詢
‧熟悉 JAVA & Python 編程語言， 有大型項目架構經驗優先
‧營運系統使用相關文件撰寫及維護",萊斯科技有限公司,電腦軟體服務業,40000,55000,專科以上,"[{'code': '12001003025', 'description': 'Java'}, {'code': '12001003045', 'description': 'Python'}, {'code': '12001004031', 'description': 'MS SQL'}, {'code': '12001006013', 'description': 'HTML'}]",4,https://www.104.com.tw/job/5usrs
37,20260407,(Jr.) Software Development Engineer in Test (SDET),"Responsibilities】

1. AI-Augmented Test Development

- Write and maintain automated tests (unit, integration, E2E) using Python,",GoFreight Technologies Ltd_映瀚科技股份有限公司,其它軟體及網路相關業,700000,1000000,大學,"[{'code': '12001003045', 'description': 'Python'}]",8,https://www.104.com.tw/job/8y1mq
38,20260407,軟體應用工程師助理,"統產品檢測故障排除，回覆客戶應用技術的問題、回饋給相關單位 ，並提供產品技術諮詢
‧熟悉 JAVA & Python 編程語言， 有大型項目架構經驗優先
‧營運系統使用相關文件撰寫及維護",萊斯科技有限公司,電腦軟體服務業,40000,55000,專科以上,"[{'code': '12001003025', 'description': 'Java'}, {'code': '12001003045', 'description': 'Python'}, {'code': '12001004031', 'description': 'MS SQL'}, {'code': '12001006013', 'description': 'HTML'}]",5,https://www.104.com.tw/job/8igoy
40,20260407,Digital Twin Engineer,"1. 電腦科學(CS)碩士學位
2. 具備 Python Programming 能力
3. 擅長設計數位孿生之解決方案架構
4. 擅長物件導向程式設計
5. 物理定律的知識
6. 擅長使用 Omniverse、Action Graph 與",宇見智能科技股份有限公司,電腦軟體服務業,800000,1500000,碩士以上,"[{'code': '12001003045', 'description': 'Python'}]",5,https://www.104.com.tw/job/8er93
44,20260407,軟體工程師_15376,"1. 測試工具開發與自動化流程設計，協助導入產線以提升測試效率與穩定性。
2. Windows/Linux系統操作，Python、C/C++、C# 等程式語言開發。
3. Embedded Firmware開發，測試治具設計、儀器控制與週邊介面整",和碩集團_和碩聯合科技股份有限公司,電腦及其週邊設備製造業,40000,55000,碩士,"[{'code': '12001003008', 'description': 'C'}, {'code': '12001003009', 'description': 'C#'}, {'code': '12001003010', 'description': 'C++'}, {'code': '12001003045', 'description': 'Python'}]",5,https://www.104.com.tw/job/8zs8x
45,20260330,【趨勢科技】Sr. AI Engineer/ Data Scientist 資深AI工程師/資料科學家＿5/9 (六) 台北面談會,"域學士以上學位或具備同等產業經驗。
2.	 至少3年資料相關領域產業經驗。
3.	熟悉Python，並具備PyTorch或TensorFlow等AI/ML框架經驗。
4.	具備大型語言模型(LLM)及相關工具的實務經驗。
5.	熟悉AI Agent",【企業專案招募】104未來無限整合招募中心,網際網路相關業,40000,55000,大學以上,[],92,https://www.104.com.tw/job/8zcib
46,20260402,資料工程人員(資訊策略發展部)_I00017395,"【工作內容】
1.負責Hadoop、Spark相關數據湖open source維運以及優化
2.數據分析、應用之相關程式(Python)開發
3.ETL數據清洗與數據模型程式維運與開發
4.資料庫規劃、設計及SQL程式開發
5.Tableau",國泰綜合證券股份有限公司,證券及期貨業,40000,55000,學歷不均,[],16,https://www.104.com.tw/job/8cmdl
48,20260406,MIS程式設計師,"1.Server日誌稽核、分析開發與維護 【使用Python、.Net程式】 
2.資訊相關應用程式開發
3.與使用者洽談需求，進行系統設計與開發 
4.跨平台之資訊流規劃及API 整合性開發 
5..主管交辦任務",鴻海集團_英屬開曼群島商鴻騰精密科技股份有限公司台灣分公司,其他電子零組件相關業,40000,55000,大學以上,"[{'code': '12001003045', 'description': 'Python'}]",3,https://www.104.com.tw/job/7kwql
49,20260407,資料工程師/後端工程師,"1. 開發和優化數據處理流程: 使用 Python 和 Apache Spark 進行數據清洗、轉換和建模，提升處理大規模數據集的效率。
2. 設計和維護與優化data pipelines。
3. 管理和維護 MongoDB 和 Data",銓鍇國際股份有限公司,網際網路相關業,40000,55000,專科以上,"[{'code': '12001003082', 'description': 'Scala'}, {'code': '12003004004', 'description': 'Hive'}, {'code': '12001011001', 'description': 'Tableau'}, {'code': '12001006043', 'description': 'Django'}, {'code': '12001006034', 'description': 'Node.js'}, {'code': '12001005023', 'description': 'AWS'}, {'code': '12001004041', 'description': 'RDBMS'}, {'code': '12001004039', 'description': 'PostgreSQL'}, {'code': '12001004035', 'description': 'Oracle'}, {'code': '12001004032', 'description': 'MySQL'}, {'code': '12001003045', 'description': 'Python'}, {'code': '12001003025', 'description': 'Java'}, {'code': '12001002018', 'description': 'Git'}, {'code': '12001002017', 'description': 'Jenkins'}, {'code': '12001002016', 'description': 'Github'}]",5,https://www.104.com.tw/job/8e74p
50,20260321,【凱基證券/量化策略部】量化策略研究員,"1.負責Python程式，交易策略的研究與開發。
2.Python技術支援，講座/課程之講師，以及協助解決客戶問題。
3.能獨立進行問題收集與分析，並進行相關的溝通與協調。
4.參與資料收集、爬蟲、清理、轉換、挖掘、探索、統計等數據分析作業。",凱基金融控股股份有限公司|凱基證券|凱基銀行|中華開發資本|凱基投信,金融控股業,40000,55000,大學以上,"[{'code': '12001003045', 'description': 'Python'}]",7,https://www.104.com.tw/job/8vsph
51,20260407,AI/機器學習平台技術服務工程師｜ AI/ML TechSupport Engineer,"作（業務 / RD）


加分項目
- 具備 Python 基礎或程式閱讀能力
- 有使用 Docker 或 Postman 經驗
- 曾參與 AI / 數據分析課程或專案
- 有客服或技術支援經驗",杰倫智能科技股份有限公司,電腦軟體服務業,40000,55000,專科以上,"[{'code': '12001003045', 'description': 'Python'}]",5,https://www.104.com.tw/job/8w93o
52,20260407,軟體工程師,"容：
● 資料處理：使用 Python、OpenCV、NumPy 等進行資料特徵分析。
● 感測器系統整合：感測器整合與系統串接。
● 系統開發與優化：撰寫與優化系統性能、API 設計

基本條件：
● 具備 Linux 作業系統環境經驗。
● 了",先鋒機械股份有限公司,金屬加工用機械製造修配業,45000,65000,大學以上,"[{'code': '12001001007', 'description': 'Linux'}, {'code': '12001003045', 'description': 'Python'}]",6,https://www.104.com.tw/job/8ocyj
56,20260326,【碩士】能源經濟研究人員(區域電價) 1,"工作內容：
1. 區域電價制度分析
2. 再生能源預測建模
3. 協助委辦計畫，撰寫書面報告及製作簡報。
4. 配合計畫處理交辦事項、履約管理，以及會議辦理相關工作。

工作條件：
1. 具備機器學習或時間序列基礎，熟悉程式工具(Python、R",財團法人台灣綜合研究院,其他教育服務業,40000,55000,碩士,"[{'code': '12001003045', 'description': 'Python'}]",0,https://www.104.com.tw/job/8272v
57,20260407,【上緯集團】機器人新事業_控制軟體工程師(儲備人才庫),"*此職缺主要為收集履歷納入公司人才庫，未來依據相關職缺需求進行媒合並主動聯繫*

•	- 開發與調校人型機器人的控制演算法
•	- 支援步態、手臂、平衡等動作的控制優化
•	- 使用 ROS / C++ / Python 進行模組開發
•	- 與",上緯國際投資控股股份有限公司,合成樹脂／塑膠及橡膠製造業,40000,55000,大學,"[{'code': '12003003049', 'description': 'Robot'}, {'code': '12001003010', 'description': 'C++'}, {'code': '12001003045', 'description': 'Python'}]",1,https://www.104.com.tw/job/8th5z
58,20260402,Junior Quantitative Trader,"statistics and time-series analysis, and expertise in Python and related data science packages like Pandas. Familiarity with Linux",RADIANT KNIGHT LIMITED_薩摩亞商耀爵有限公司台灣分公司,電腦軟體服務業,60000,9999999,大學以上,"[{'code': '12001001007', 'description': 'Linux'}, {'code': '12001003045', 'description': 'Python'}, {'code': '12001004009', 'description': 'Data Modeling'}]",3,https://www.104.com.tw/job/8m1x7
59,20260407,【電源研發-ATS】系統軟體開發工程師,"我們正在尋找一位具備深厚 後端開發功底 的工程師，您將參與高性能 Web 服務的架構設計與維護。

本職位不僅要求對 PHP (Laravel) 框架有透徹理解，還需具備 Python 多工處理與系統整合的實務經驗，並能解決大數據量下的資料庫(",固緯電子實業股份有限公司,其他電子零組件相關業,40000,55000,大學以上,"[{'code': '12001002018', 'description': 'Git'}, {'code': '12001003041', 'description': 'PHP'}, {'code': '12001003045', 'description': 'Python'}, {'code': '12001004031', 'description': 'MS SQL'}, {'code': '12001006013', 'description': 'HTML'}, {'code': '12001006032', 'description': 'CSS'}]",3,https://www.104.com.tw/job/8wcob
61,20260401,【智慧安防部】Python工程師 (中和),"1.Python為主要語言 
2.使用QT GUI為佳
3.使用Django/Flask為佳
4.GCP/AWS API串接
5.需與韌體工程師、前端工程師、UI/UX、APP開發者人員溝通協調
6.主管交代之事項

有佈署在 GCP或AWS 經",昇銳智慧科技股份有限公司,光學器材製造業,40000,55000,大學,"[{'code': '12001003045', 'description': 'Python'}, {'code': '12001006043', 'description': 'Django'}]",13,https://www.104.com.tw/job/8rcw1
62,20260330,健康台灣辦公室－(研究部)生物資訊分析研究助理(碩士),"學歷:
1.生物相關科系碩士(含)以上

待遇:
碩士以上依實際經歷核予

需具備以下能力:
1. 基礎程式能力：具備基礎的 R 或 Python 腳寫能力
2. 熟悉 Linux 指令，能操作遠端伺服器。
3. 大致了解 NGS 基礎流程（如比",臺北醫學大學附設醫院,醫院,41500,51200,碩士以上,"[{'code': '12001001007', 'description': 'Linux'}, {'code': '12001003045', 'description': 'Python'}]",3,https://www.104.com.tw/job/7tpq7
63,20260312,DevOps 工程師,"我們正在尋找一位 DevOps 工程師，負責伺服器管理、自動化部署流程，並維護生產環境的穩定性與可用性。

【工作內容】
• 設計與實作 CI/CD 流程，提升交付速度與品質
• 使用 Shell、Python 等腳本自動化日常維運工作
• 規劃",燦宇視界娛樂股份有限公司,電腦軟體服務業,40000,55000,學歷不均,"[{'code': '12001003045', 'description': 'Python'}, {'code': '12001001020', 'description': 'Shell'}]",3,https://www.104.com.tw/job/8w0h7
64,20260210,韌體自動化測試工程師,"工作內容：
1. 透過Python或C語言開發自動化測試程式/腳本
2. 配合韌體開發模型 V-Model，於不同開發階段(Unit, Integration, System, Acceptance Test) 之測試需求轉化為自動化腳本
3.",佳能企業股份有限公司,消費性電子產品製造業,40000,55000,大學以上,"[{'code': '12001003008', 'description': 'C'}, {'code': '12001003010', 'description': 'C++'}, {'code': '12001003045', 'description': 'Python'}]",1,https://www.104.com.tw/job/8dxlw
65,20260318,系統開發程式設計師(R4),"開發與維護『金融演算法系統後端平台』。
-Python程式開發與除錯。
-部署金融演算法到Linux Server。
-資料庫表格設計。
-Linux Server架設。",資通電腦股份有限公司,電腦軟體服務業,40000,55000,專科以上,"[{'code': '12001001007', 'description': 'Linux'}, {'code': '12001003025', 'description': 'Java'}, {'code': '12001003045', 'description': 'Python'}]",9,https://www.104.com.tw/job/6vhj8
66,20260326,[台北/高雄] 資深後端工程師 Senior Backend Engineer (Python/Django),"systems
▸ Proficient in Python and experienced with Python web frameworks (we use Django and FastAPI)
▸ Experience designing","Linker Vision Co., Ltd._鑫蘊林科股份有限公司",電腦軟體服務業,40000,55000,大學以上,"[{'code': '12001001007', 'description': 'Linux'}, {'code': '12001002018', 'description': 'Git'}, {'code': '12001003045', 'description': 'Python'}, {'code': '12001004039', 'description': 'PostgreSQL'}, {'code': '12001005023', 'description': 'AWS'}, {'code': '12001006017', 'description': 'JavaScript'}, {'code': '12001006043', 'description': 'Django'}]",7,https://www.104.com.tw/job/7ize1
